Dose,Days,pH(KCl),S(w),Ca (w),Fe(w),Zn (w),Sr(w),Ba(w),P(w),K(w),Na (w),Mg(w),F(w),S(m),Ca (m),Fe(m),Zn (m),Sr(m),Ba(m),P(m),K(m),Na (m),Mg(m),FDA,AP,URE,DHA,SIR,SBR,E.fetida,S.alba ,A.sativa ,FDA_n,AP_n,URE_n,DHA_n,SIR_n,SBR_n,E.fetida_n,S.alba _n,A.sativa_n
0,28,6.5,0,57.81021898,9.467816855,0,0.652687459,0,2.050165893,19.41871267,20.88918381,26.48838752,0.1312,0,688.5278253,0,3.2314827,5.544336272,10.51835285,0.046148533,31.03210104,0.892481252,59.6862255,30.86,214.52,456.37,20.3,3.14,0.64,10,4.21,3.5,85.2957435,97.0678733,95.61091092,64.99098157,57.82688766,34.04255319,100,82.2265625,97.22222222
0,28,6.4,13.60553265,49.10227424,9.980050539,0.395265328,0.574012502,0.165846522,2.505652347,27.66325309,20.32185131,20.21545418,0.1702,0,643.5387674,0,2.292246521,3.199801193,10.26838966,0,29.98011928,0,54.20477137,30.06,208.11,417.24,22.11,5,0.67,10,4.3,2.9,83.08457711,94.16742081,87.41305623,70.78574397,92.08103131,35.63829787,100,83.984375,80.55555556
0,28,6.4,13.60553265,49.10227424,9.980050539,0.395265328,0.574012502,0.165846522,2.505652347,27.66325309,20.32185131,20.21545418,0.1702,0,643.5387674,0,2.292246521,3.199801193,10.26838966,0,29.98011928,0,54.20477137,33.06,210.34,411.11,20.46,4.18,0.65,10,4.5,3,91.37645108,95.17647059,86.12880248,65.50322576,76.97974217,34.57446809,100,87.890625,83.33333333
0,28,6.4,13.60553265,49.10227424,9.980050539,0.395265328,0.574012502,0.165846522,2.505652347,27.66325309,20.32185131,20.21545418,0.1702,0,643.5387674,0,2.292246521,3.199801193,10.26838966,0,29.98011928,0,54.20477137,33.01,205.64,423.19,21.18,4.99,0.61,9,4.6,3.1,91.23825318,93.04977376,88.65959943,67.80832462,91.89686924,32.44680851,90,89.84375,86.11111111
1,7,4.9,2144.995,1983.6,11.747,0.671,80.724,3.03,8.706,28.928,49.364,143.824,0.3127,341.761,1195.822,2.798,2.293,57.009,4.333,9.347,39.731,4.193,52.519,29.04,192.4,311.18,10.11,3.9,0.92,9,3.9,3.3,80.26533997,87.05882353,65.19316182,32.36742974,71.82320442,48.93617021,90,76.171875,91.66666667
1,7,4.9,2144.995,1983.6,11.747,0.671,80.724,3.03,8.706,28.928,49.364,143.824,0.3127,341.761,1195.822,2.798,2.293,57.009,4.333,9.347,39.731,4.193,52.519,28.94,190.11,312.45,10.32,6.11,0.91,9,3.86,3.9,79.98894417,86.02262443,65.4592307,33.03975024,112.5230203,48.40425532,90,75.390625,108.3333333
1,7,4.9,2144.995,1983.6,11.747,0.671,80.724,3.03,8.706,28.928,49.364,143.824,0.3127,341.761,1195.822,2.798,2.293,57.009,4.333,9.347,39.731,4.193,52.519,30.11,191.34,304.5,10.44,3.31,0.9,9,3.5,3.45,83.22277501,86.57918552,63.79368139,33.42393338,60.95764273,47.87234043,90,68.359375,95.83333333
1,7,4.8,2430.592,1905.448,13.41,0.742,76.729,4.319,9.022,35.791,48.887,120.102,0.2857,274.718,1116.75,2.814,2.705,51.948,3.502,11.099,39.523,2.937,55.15,35.46,187.56,256.31,24.56,6,0.97,10,3.1,3.98,98.00995025,84.86877828,53.69772899,78.62948313,110.4972376,51.59574468,100,60.546875,110.5555556
1,7,4.8,2430.592,1905.448,13.41,0.742,76.729,4.319,9.022,35.791,48.887,120.102,0.2857,274.718,1116.75,2.814,2.705,51.948,3.502,11.099,39.523,2.937,55.15,39.14,186.7,245.67,24.15,6.25,0.98,10,3.11,3.64,108.1813156,84.47963801,51.46861644,77.31685739,115.1012891,52.12765957,100,60.7421875,101.1111111
1,7,4.8,2430.592,1905.448,13.41,0.742,76.729,4.319,9.022,35.791,48.887,120.102,0.2857,274.718,1116.75,2.814,2.705,51.948,3.502,11.099,39.523,2.937,55.15,40.21,190.34,248.7,24.64,5.46,0.91,10,3.23,3.75,111.1387507,86.12669683,52.10341071,78.88560522,100.5524862,48.40425532,100,63.0859375,104.1666667
